最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
-	-	113580	康隆转债	-	98.1588	-	-	603665	康隆达	127.0148	-0.29	29.03	10.86	20.16	115.0	20201029	20200423
-	-	113579	健友转债	-	92.4473	-	-	603707	健友股份	142.069	-6.06	44.36	29.44	54.67	109.0	20201029	20200423
98.448	-8.16	128107	交科转债	-	93.3612	5.25	-1.69	002061	浙江交科	97.9478	0.51	5.45	3.75	6.97	110.0	20201028	20200422
-	-	113578	全筑转债	-	95.7994	-	-	603030	全筑股份	152.1024	-0.94	57.29	3.83	7.06	113.0	20201026	20200420
-	-	113573	纵横转债	-	101.0907	-	-	603602	纵横通信	92.823	17.47	7.86	13.17	24.45	118.0	20201023	20200417
107.196	-6.09	123050	聚飞转债	-	100.6729	5.08	0.0	300303	聚飞光电	98.0695	9.31	6.48	3.63	6.73	118.0	20201020	20200414
-	-	113577	春秋转债	-	95.8363	-	-	603890	春秋电子	165.0995	-3.2	66.75	7.74	14.38	112.0	20201020	20200414
98.619	-5.45	123049	维尔转债	-	101.2289	7.09	-0.14	300190	维尔利	94.7861	4.04	-2.58	5.24	9.72	118.0	20201019	20200413
-	-	110070	凌钢转债	-	95.5072	-	-	600231	凌钢股份	86.5455	21.84	10.41	1.93	3.58	112.0	20201019	20200413
98.391	-9.73	128106	华统转债	-	91.7686	8.81	-6.28	002840	华统股份	93.8232	4.87	7.22	6.57	12.21	108.0	20201016	20200410
101.757	-5.07	123048	应急转债	-	91.6734	8.37	-0.83	300527	中船应急	94.0449	8.2	11.0	6.23	11.57	108.0	20201016	20200410
-	-	113576	起步转债	-	98.8405	-	-	603557	起步股份	88.1517	17.18	4.51	7.39	13.72	115.0	20201016	20200410
-	-	113034	滨化转债	-	93.2874	-	-	601678	滨化股份	97.6496	13.88	19.2	3.28	6.08	110.0	20201016	20200410
88.272	-9.82	128105	长集转债	-	93.4906	6.67	-5.92	002616	长青集团	82.2441	7.33	-5.58	5.68	10.54	110.0	20201015	20200409
96.907	-3.85	127016	鲁泰转债	-	94.1995	6.29	-3.08	000726	鲁  泰Ａ	70.5948	37.27	2.87	6.24	11.58	111.0	20201015	20200409
-	-	113575	东时转债	-	92.0449	-	-	603377	东方时尚	121.1538	3.18	35.81	10.19	18.93	108.0	20201015	20200409
-	-	110069	瀚蓝转债	-	91.8884	-	-	600323	瀚蓝环境	114.2079	16.94	45.34	14.14	26.26	110.0	20201013	20200407
-	-	113033	利群转债	-	93.5704	-	-	601366	利群股份	89.4437	18.06	12.86	4.91	9.11	110.0	20201008	20200401
-	-	113574	华体转债	-	94.5588	-	-	603679	华体科技	127.8317	-11.16	20.11	23.79	44.19	110.0	20201009	20200331
165.675	-7.85	128103	同德转债	-	98.9845	9.32	-0.11	002360	同德化工	179.9228	-7.92	67.37	3.63	6.73	115.0	20201009	20200326
